%%                              Description                              %%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
% The following datalist contains the time of maximum dynamic pressure
% for each jet along with its class.
% Quasi-parallel jet = Class 1
% Quasi-perpendicular jet = Class 2
% Boundary jet = Class 3
% Encapsulated jet = Class 5
%
%Savvas Raptis 
%KTH, Royal Institute of Technology, Sweden, Stockholm
%savvra@kth.se
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

Time(UCT)	Class
2015-09-07T20:10:33	1
2015-09-09T08:49:47	1
2015-09-09T08:55:56	1
2015-09-09T09:01:47	1
2015-09-18T12:39:28	1
2015-09-18T12:41:57	1
2015-09-19T08:49:19	1
2015-10-02T10:50:43	1
2015-10-02T11:08:25	1
2015-10-03T07:50:13	1
2015-10-03T07:52:10	1
2015-10-03T07:59:17	1
2015-10-03T08:00:25	1
2015-10-03T08:02:04	1
2015-10-06T14:54:13	1
2015-10-06T16:03:04	1
2015-10-06T17:13:03	1
2015-10-08T13:16:20	1
2015-10-09T11:01:16	1
2015-10-13T16:27:29	1
2015-10-14T07:28:05	1
2015-10-21T06:22:18	1
2015-10-21T06:29:03	1
2015-10-21T06:59:03	1
2015-10-21T07:11:43	1
2015-10-21T07:19:00	1
2015-10-21T07:25:04	1
2015-10-22T07:17:48	1
2015-10-25T06:37:04	1
2015-10-31T14:56:15	1
2015-11-02T08:23:06	1
2015-11-02T12:18:41	1
2015-11-03T12:28:55	1
2015-11-03T14:25:50	1
2015-11-04T11:43:46	1
2015-11-04T11:51:52	1
2015-11-04T12:32:31	1
2015-11-04T12:38:54	1
2015-11-04T13:20:00	1
2015-11-04T13:28:10	1
2015-11-04T13:33:16	1
2015-11-05T07:22:47	1
2015-11-05T08:20:41	1
2015-11-05T09:03:57	1
2015-11-05T09:05:27	1
2015-11-05T09:12:39	1
2015-11-05T14:32:54	1
2015-11-07T11:08:32	1
2015-11-09T04:07:37	1
2015-11-09T07:42:30	1
2015-11-09T07:52:06	1
2015-11-09T09:29:40	1
2015-11-09T09:31:10	1
2015-11-09T10:44:49	1
2015-11-10T03:50:32	1
2015-11-10T03:51:49	1
2015-11-10T08:23:24	1
2015-11-10T08:45:54	1
2015-11-10T08:51:58	1
2015-11-10T08:55:43	1
2015-11-10T09:00:58	1
2015-11-10T09:19:48	1
2015-11-10T09:30:40	1
2015-11-10T09:34:12	1
2015-11-10T09:40:43	1
2015-11-10T09:55:16	1
2015-11-10T10:01:03	1
2015-11-10T10:02:24	1
2015-11-10T10:05:19	1
2015-11-10T12:30:45	1
