Parameter,Start,End,Freq Lower Bound (mHz),Freq Upper Bound (mHz),FHB,PG5,GHB,PG4,SKT,STF,PG3,ATU,PG2,GDH,UMQ,PG1,PG0,UPN,KUV,SVS,THL,Arctic Maximum,Arctic Mean,Arctic Standard Deviation,Arctic Coefficient of Variation,Arctic Maximum GEOLON,Arctic Maximum GEOLAT,Arctic Maximum AACGMLON,Arctic Maximum AACGMLAT,Antarctic Maximum,Antarctic Mean,Antarctic Standard Deviation,Antarctic Coefficient of Variation,Antarctic Maximum GEOLON,Antarctic Maximum GEOLAT,Antarctic Maximum AACGMLON,Antarctic Maximum AACGMLAT
Bx,2015-03-25 19:20:53,2015-03-25 20:50:53,2.5,3,3316.7818232417594,Error,13795.076128079798,0.7785053645097374,12380.026457575503,55472.28632791021,0.20775564622103102,89793.477973045,7.216955009309794,53588.384818926745,3640.269654018995,0.43598468840867916,0.3382308909161086,Error,21421.69478333341,13813.96419564525,16859.575441360594,89793.477973045,28408.153760313726,26913.394262495054,94.7382729957381,306.43,67.93,38.19,73.99,7.216955009309794,1.79548631987307,2.717325883192846,151.34205441258638,57.96,-84.42,39.07,-75.24
By,2015-03-25 19:20:53,2015-03-25 20:50:53,2.5,3,1658.4920772813996,Error,6166.171100254976,1.0845702242160016,7764.879013280022,37194.32830425841,0.42827362682800907,84599.0693517598,0.4727584905951635,54144.61214883513,6717.4076757684,0.5423245979906623,0.37541378912945167,Error,7789.902688319877,8976.686653299477,10168.718088653995,84599.0693517598,22518.026710171147,26062.04105101844,115.73856531241479,306.43,67.93,38.19,73.99,1.0845702242160016,0.5806681457518575,0.25783152108380586,44.40255987349915,12.25,-83.34,36.39,-70.83
Bz,2015-03-25 19:20:53,2015-03-25 20:50:53,2.5,3,4745.763538932272,Error,8295.25434386922,0.2719126149775564,37262.20976317676,46231.750880363536,0.18574644117820058,82955.65989766513,0.24206684325812802,39714.13217620594,53565.74759211928,0.21412541139967856,0.050075162645070226,Error,1165.6795145782269,8814.44100009609,443.02545073109445,82955.65989766513,28319.36641577376,26466.408916362507,93.45692459284977,306.43,67.93,38.19,73.99,0.2719126149775564,0.19278529469172673,0.07689074284123787,39.88413274165438,12.25,-83.34,36.39,-70.83
Bx,2015-03-25 19:31:39,2015-03-25 21:01:39,2.5,3,25655.428667923243,Error,54075.42912042644,0.49047132862265874,61323.45143857294,45003.32057281307,0.21608446274837514,35827.251821246995,0.24135446111815825,67470.10361211971,54698.49038640504,0.3525722721321019,3.9545037000522494,Error,34803.5725645215,16369.159686477673,11220.82052890352,67470.10361211971,40644.70283994101,18114.01527718939,44.56673074600262,306.47,69.25,39.39,75.25,3.9545037000522494,1.0509972449347087,1.4549870976503778,138.43871662487243,88.68,-83.67,38.23,-78.32
By,2015-03-25 19:31:39,2015-03-25 21:01:39,2.5,3,1532.4019614349975,Error,9759.419786633258,1.055868039166113,15719.262656778406,41007.76482558255,0.39099984837705726,54211.81869619338,0.4044328166951017,20036.689364992755,12633.00922184905,0.4498242783650095,0.309408011687768,Error,837.8472707218116,686.2865907100199,1192.6510085048594,54211.81869619338,15761.715138340107,17448.748971211735,110.7033645644816,306.43,67.93,38.19,73.99,1.055868039166113,0.5221065988582099,0.27070382229663803,51.84838170761253,12.25,-83.34,36.39,-70.83
Bz,2015-03-25 19:31:39,2015-03-25 21:01:39,2.5,3,4833.258382560937,Error,31288.743270631443,0.3135472666792795,114896.79424478729,33551.819529915025,0.08339541529328308,73419.45565538938,0.12098334115629351,42618.52218301434,38719.32056205185,0.1192370796769953,0.04020788161742155,Error,144.91400671878876,3330.7415093086156,4580.063080619097,114896.79424478729,34738.363242499676,34640.781543355595,99.71909528821814,307.1,65.42,37.22,71.43,0.3135472666792795,0.1354741968846546,0.09377794770379058,69.22199936245792,12.25,-83.34,36.39,-70.83
Bx,2015-03-25 19:32:34,2015-03-25 21:02:34,2.5,3,24355.85857148406,Error,55037.51435909808,0.46041492585235844,68030.7470542108,53792.172533280165,0.21332604433132907,34884.018164578054,0.24103107642896046,65135.54719649619,57765.71804955478,0.37552755487793615,0.3244304716979684,Error,37438.74004055212,15480.118531799599,9848.447574530841,68030.7470542108,42176.88820755847,19722.867120027324,46.76226236266717,307.1,65.42,37.22,71.43,0.46041492585235844,0.3229460146377105,0.08987916168840725,27.831017450156832,12.25,-83.34,36.39,-70.83
By,2015-03-25 19:32:34,2015-03-25 21:02:34,2.5,3,1619.4911802980787,Error,9083.252140357561,1.0474884445054737,14968.40079037026,41377.76263027173,0.37003176623221723,53659.69489385151,0.3888957413715745,19075.947540280686,12550.87286546015,0.4307368948011347,0.3086986901531965,Error,202.38074782505885,711.9248741837727,1399.1647497556642,53659.69489385151,15464.88924126545,17415.386841890173,112.61242528281514,306.43,67.93,38.19,73.99,1.0474884445054737,0.5091703074127193,0.2720119817735187,53.422593150749734,12.25,-83.34,36.39,-70.83
Bz,2015-03-25 19:32:34,2015-03-25 21:02:34,2.5,3,5329.342921342523,Error,31255.452931741016,0.3157411310577493,118245.45037732295,38448.53912014107,0.08700298880976857,74558.68271419776,0.10536460490732982,43280.74702744644,38906.99239253347,6.781510766485325,0.037647517678261265,Error,212.4992509625824,4189.242123730672,5191.334492561362,118245.45037732295,35961.82833519798,35388.65652285695,98.40616609645504,307.1,65.42,37.22,71.43,6.781510766485325,1.4654534017876866,2.6597331042553476,181.4955767962854,77.2,-85.5,33.68,-76.55
Bx,2015-03-25 19:41:20,2015-03-25 21:11:20,2.5,3,5736.396747304978,Error,36085.819047346915,0.2868080347578342,88904.05259635337,131805.25524443423,0.16041885517737337,50771.329046268715,5.683691626939262,31531.425738258225,37731.02661963275,0.2953931517031496,0.23874048440519025,Error,28080.24158314537,3034.106813671059,503.5974675437607,131805.25524443423,41418.32509039594,39051.786569945645,94.28625248537863,309.28,67.02,40.87,72.64,5.683691626939262,1.333010430596562,2.1758682708568795,163.22965078998772,57.96,-84.42,39.07,-75.24
